date,sales
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,700.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-02,2652.0
2013-01-02,2579.0
2013-01-02,7736.0
2013-01-02,2677.0
2013-01-02,2587.0
2013-01-02,3257.0
2013-01-02,3130.0
2013-01-02,3176.0
2013-01-02,3431.0
2013-01-02,3756.0
2013-01-02,2439.0
2013-01-02,3870.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,2476.0
2013-01-02,3920.0
2013-01-02,1521.0
2013-01-02,2366.0
2013-01-02,2545.0
2013-01-02,2133.0
2013-01-02,0.0
2013-01-02,8463.0
2013-01-02,1188.0
2013-01-02,2989.0
2013-01-02,1223.0
2013-01-02,2654.0
2013-01-02,3624.0
2013-01-02,1388.0
2013-01-02,0.0
2013-01-02,4698.0
2013-01-02,4005.0
2013-01-02,3927.0
2013-01-02,4087.0
2013-01-02,2473.0
2013-01-02,2211.0
2013-01-02,0.0
2013-01-02,2753.0
2013-01-02,10686.0
2013-01-02,11422.0
2013-01-02,10892.0
2013-01-02,10867.0
2013-01-02,8019.0
2013-01-02,5901.0
2013-01-02,4558.0
2013-01-02,7640.0
2013-01-02,5051.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,2348.0
2013-01-02,5535.0
2013-01-02,4172.0
2013-01-02,5277.0
2013-01-02,7718.0
