date,sales
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,810.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-01,0.0
2013-01-02,1091.0
2013-01-02,396.0
2013-01-02,3443.0
2013-01-02,682.0
2013-01-02,767.0
2013-01-02,744.0
2013-01-02,938.0
2013-01-02,389.0
2013-01-02,1011.0
2013-01-02,1089.0
2013-01-02,1220.0
2013-01-02,1481.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,838.0
2013-01-02,2312.0
2013-01-02,1373.0
2013-01-02,470.0
2013-01-02,1540.0
2013-01-02,786.0
2013-01-02,0.0
2013-01-02,4486.0
2013-01-02,377.0
2013-01-02,951.0
2013-01-02,213.0
2013-01-02,758.0
2013-01-02,1340.0
2013-01-02,682.0
2013-01-02,0.0
2013-01-02,1119.0
2013-01-02,719.0
2013-01-02,928.0
2013-01-02,1545.0
2013-01-02,483.0
2013-01-02,628.0
2013-01-02,0.0
2013-01-02,1137.0
2013-01-02,5466.0
2013-01-02,4070.0
2013-01-02,3459.0
2013-01-02,3840.0
2013-01-02,1966.0
2013-01-02,3133.0
2013-01-02,947.0
2013-01-02,1794.0
2013-01-02,3181.0
2013-01-02,0.0
2013-01-02,0.0
2013-01-02,597.0
2013-01-02,1693.0
2013-01-02,2277.0
2013-01-02,2424.0
2013-01-02,1309.0
2013-01-03,919.0
